Исходное слово | Перевод | Количество упоминаний
в | в | 139
и | и | 68
to | to | 55
not | not | 50
included, | included, | 50
change | change | 50
data | data | 50
exporting | exporting | 50
settings | settings | 50
download. | download. | 50
на | на | 45
иностранец | иностранец | 44
photo | photo | 43
kb | kb | 43
приключение | приключение | 40
рф | рф | 40
п | п | 38
🇷🇺 | 🇷🇺 | 34
с | с | 24
⬇️ | ⬇️ | 22
(العربية) | (العربية) | 21
студент | студент | 21
— | — | 20
россия | россия | 20
⬇️français | ⬇️français | 20
⬇️arabic | ⬇️arabic | 20
русский | русский | 20
о | о | 19
⬇️кiswahili | ⬇️кiswahili | 19
по | по | 17
иностранный | иностранный | 17
из | из | 16
язык | язык | 15
для | для | 14
the | the | 13
быть | быть | 12
2023 | 2023 | 11
российский | российский | 11
18.12.2023 | 18.12.2023 | 11
за | за | 10
пройти | пройти | 10
день | день | 9
1280×877, | 1280×877, | 9
от | от | 9
december | december | 8
что | что | 8
а | а | 8
вуз | вуз | 8
in | in | 8
страна | страна | 8
video | video | 7
file | file | 7
mb | mb | 7
наш | наш | 7
до | до | 7
мочь | мочь | 7
не | не | 7
обучение | обучение | 7
- | - | 7
получить | получить | 7
and | and | 7
культура | культура | 6
теперь | теперь | 6
15 | 15 | 6
неделя | неделя | 6
программа | программа | 6
он | он | 6
также | также | 6
образование | образование | 6
как | как | 6
стать | стать | 6
14:54 | 14:54 | 6
r | r | 6
rosmolodezh.+world | rosmolodezh.+world | 6
883×1280, | 883×1280, | 6
– | – | 6
гражданин | гражданин | 6
они | они | 5
новый | новый | 5
рейс | рейс | 5
год | год | 5
гость | гость | 5
высокий | высокий | 5
участник | участник | 5
весь | весь | 5
участие | участие | 5
960×1280, | 960×1280, | 5
ли | ли | 5
сдача | сдача | 5
экзамен | экзамен | 5
им. | им. | 5
международный | международный | 5
к | к | 5
2024 | 2024 | 5
сегодня | сегодня | 5
of | of | 5
for | for | 5
11:03 | 11:03 | 5
малиец | малиец | 5
🇲🇱🇷🇺 | 🇲🇱🇷🇺 | 5
10:29:05 | 10:29:05 | 5
олимпиада | олимпиада | 5
канал | канал | 4
это | это | 4
новость | новость | 4
билет | билет | 4
около | около | 4
можно | можно | 4
после | после | 4
12:46 | 12:46 | 4
/ | / | 4
// | // | 4
рвать | рвать | 4
развитие | развитие | 4
видеоигровой | видеоигровой | 4
индустрия | индустрия | 4
14.12.2023 | 14.12.2023 | 4
11:20:39 | 11:20:39 | 4
1280×960, | 1280×960, | 4
встреча | встреча | 4
но | но | 4
который | который | 4
вопрос | вопрос | 4
культурный | культурный | 4
институт | институт | 4
рудна | рудна | 4
свой | свой | 4
поделиться | поделиться | 4
проходить | проходить | 4
того, | того, | 4
уже | уже | 4
срок | срок | 4
заявка | заявка | 4
январь | январь | 4
или | или | 4
ребята | ребята | 4
привет | привет | 4
russian | russian | 4
a | a | 4
new | new | 4
белоруссия | белоруссия | 4
10:15 | 10:15 | 4
магистратура | магистратура | 4
отборочный | отборочный | 4
поступление | поступление | 4
саф | саф | 4
место | место | 3
другой | другой | 3
важный | важный | 3
москва | москва | 3
сайт | сайт | 3
декабрь | декабрь | 3
пока | пока | 3
конец | конец | 3
успеть | успеть | 3
студия | студия | 3
образовательный | образовательный | 3
экскурсия | экскурсия | 3
